TBD	PDL#1#17/02/2009	TBD	DISPÕE SOBRE A OUTORGA DE TÍTULO DE CIDADÃO PAULISTANO AO%PADRE ANTONY PALAMATTATH ITOOP. ANTHONY PALAMATTAH ITOOP%CIDADAO PAULISTANO%CONCESSAO HONORIFICA%TITULO HONORIFICO
TBD	PDL#2#17/02/2009	TBD	DISPÕE SOBRE A OUTORGA DE "MEDALHA ANCHIETA E DIPLOMA DE%GRATIDÃO"  HOMENAGEANDO O ARQUITETO ISAY WEINFELD. CONCESSAO HONORIFICA%DIPLOMA DE GRATIDAO DA CIDADE DE SAO PAULO%ISAY WEINFELD%MEDALHA ANCHIETA
TBD	PDL#3#17/02/2009	TBD	DISPÕE SOBRE A SUSTAÇÃO DOS EFEITOS DO DECRETO Nº 50.365,%DE 30 DE DEZEMBRO DE 2008, E DÁ OUTRAS PROVIDÊNCIAS.%(DISPÕE SOBRE A CRIAÇÃO DA COORDENADORIA GERAL DE ASSISTÊN-%CIA SOCIAL - COGEAS, E DEMAIS PROVIDÊNCIAS) ALTERACAO%ASSISTENCIA SOCIAL%CARGO EM COMISSAO%COORDENADORIA DE ATENCAO A POPULACAO DE RUA%COORDENADORIA GERAL DE ASSISTENCIA SOCIAL%DECRETO 49.545/2008%DECRETO 50.365/2008%DENOMINACAO%ORGANIZACAO ADMINISTRATIVA%REESTRUTURACAO%REFORMA ADMINISTRATIVA%REVOGACAO%SECRETARIA MUNICIPAL DE ASSISTENCIA DESENV. SOCIAL%SUBPREFEITURA%SUPERVISAO DE ASSISTENCIA SOCIAL%SUSTACAO%TRANSFERENCIA
TBD	PDL#4#17/02/2009	TBD	CONCEDE MEDALHA ANCHIETA E O DIPLOMA DE GRATIDÃO AO SR.%ENZO LUÍS NICO JÚNIOR.%*** ENTREGUE EM 21 DE SETEMBRO DE 2009 *** CONCESSAO HONORIFICA%DIPLOMA DE GRATIDAO DA CIDADE DE SAO PAULO%ENZO LUIS NICO JUNIOR%MEDALHA ANCHIETA
TBD	PDL#5#04/03/2009	TBD	DISPÕE SOBRE A OUTORGA DE "TÍTULO DE CIDADÃO PAULISTANO" AO%APÓSTOLO VALDEMIRO SANTIAGO DE OLIVEIRA, E DÁ OUTRAS%PROVIDENCIAS.%* * * RETIRADO PARA ENTREGA FORA DA CASA EM 06/04/2010 * * * CIDADAO PAULISTANO%CONCESSAO HONORIFICA%TITULO HONORIFICO%VALDEMIRO SANTIAGO DE OLIVEIRA
TBD	PDL#6#10/03/2009	TBD	DISPÕE SOBRE A CONCESSÃO DO PRÊMIO ESCOTISTA MÁRIO%COVAS JÚNIOR DE AÇÃO VOLUNTÁRIA DO ANO DE 2009, NOS TERMOS%DA RESOLUÇÃO Nº 02/2003.% * * * ENTREGUE EM SESSÃO SOLENE, DIA 23/04/09 * * * CONCESSAO HONORIFICA%ESCOTEIRO%PREMIO%PREMIO ESCOTISTA MARIO COVAS JR DE ACAO VOLUNTARIA
TBD	PDL#7#11/03/2009	TBD	CONCEDE TÍTULO DE CIDADÃO PAULISTANO AO "PROFESSOR%DOUTOR WILLIAM ABRÃO SAAD".%   ***   HONRARIA ENTREGUE EM 04/12/2009   *** CIDADAO PAULISTANO%CONCESSAO HONORIFICA%TITULO HONORIFICO%WILLIAM ABRAO SAAD
TBD	PDL#8#25/03/2009	TBD	DISPÕE SOBRE A OUTORGA DE "TÍTULO DE CIDADÃO PAULISTANO" AO%SR. GEORGE HENRIQUE MELÃO MONTEIRO.%  *  *  *  ENTREGUE EM SESSÃO SOLENE, EM 05/04/2010  *  *  * CIDADAO PAULISTANO%CONCESSAO HONORIFICA%GEORGE HENRIQUE MELAO MONTEIRO%TITULO HONORIFICO
TBD	PDL#9#25/03/2009	TBD	DISPÕE SOBRE A OUTORGA DE "TÍTULO DE CIDADÃO PAULISTANO" AO%PASTOR JEAN MADEIRA, E DÁ OUTRAS PROVIDÊNCIAS.%  *  *  *  ENTREGUE EM SESSÃO SOLENE EM 09/04/2010  *  *  * CIDADAO PAULISTANO%CONCESSAO HONORIFICA%JEAN MADEIRA%TITULO HONORIFICO
TBD	PDL#10#25/03/2009	TBD	DISPÕE SOBRE A CONCESSÃO DE DIPLOMA DE GRATIDÃO DA CIDADE%DE SÃO PAULO E MEDALHA ANCHIETA AO SR. PAULO EMÍLIO%VANZOLINI.% * * * ENTREGUE EM SESSÃO SOLENE, EM 25/05/09 * * * CONCESSAO HONORIFICA%DIPLOMA DE GRATIDAO DA CIDADE DE SAO PAULO%MEDALHA ANCHIETA%PAULO EMILIO VANZOLINI%TITULO HONORIFICO
